Lines Matched,Pct1,Pct2,Moss Link,Project1,Student1,Project2,Student2
16,0,1,http://moss.stanford.edu/results/818084778/match202.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P12014","S_Stu(b72a6ef515dfe775b81c412263fcc24d)"
16,0,0,http://moss.stanford.edu/results/818084778/match234.html,"C_P12015","Black_Lisa(82d08df03494defb6b12f52319752fdc)","C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)"
15,0,0,http://moss.stanford.edu/results/818084778/match98.html,"C_P12015","Black_Lisa(82d08df03494defb6b12f52319752fdc)","O_P22014","K_Stu(b72a6ef515dfe775b81c412263fcc24d)"
15,2,0,http://moss.stanford.edu/results/818084778/match137.html,"C_P12015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
14,0,0,http://moss.stanford.edu/results/818084778/match65.html,"C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P22014","K_Stu(b72a6ef515dfe775b81c412263fcc24d)"
14,0,0,http://moss.stanford.edu/results/818084778/match132.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P22014","L_Stu(21f2212719b3c956cfeec91a639a019f)"
14,0,0,http://moss.stanford.edu/results/818084778/match224.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","C_P22015","Gonzales_Pedro(a876148095ff319cdf1d6d971f2c0ca5)"
13,0,1,http://moss.stanford.edu/results/818084778/match68.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P22014","N_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
13,4,0,http://moss.stanford.edu/results/818084778/match87.html,"C_P12015","Sunam_Jerry(a078102843453dd4fe10ec0873d6e998)","O_P22014","K_Stu(b72a6ef515dfe775b81c412263fcc24d)"
13,2,1,http://moss.stanford.edu/results/818084778/match129.html,"C_P12015","Sunam_Jerry(a078102843453dd4fe10ec0873d6e998)","O_P22014","I_Stu(c87f16d0e9cda269a5c19e68612109b1)"
